Parameter,Value,Unit,Vessel_Type,Data_Class,Source,Source_URL,Use_Status,Reason
Ballast_Speed,15,knots,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Published BCI182 speed specification.
Laden_Fuel,52,mt/day,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Published BCI182 speed/consumption curve.
Ballast_Fuel,44,mt/day,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Published BCI182 speed/consumption curve.
Laden_Speed,13.5,knots,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Published Panamax speed specification.
Ballast_Speed,14,knots,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Published Panamax speed specification.
Laden_Fuel,33,mt/day,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Published Panamax fuel specification at 13.5 knots.
Ballast_Fuel,31,mt/day,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Published Panamax fuel specification at 14 knots.
Commission,5,%,Capesize,EXTERNAL REFERENCE,Baltic Exchange C18 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,C18 specification states 5% total commissions.
Commission,5,%,Panamax,EXTERNAL REFERENCE,Baltic Exchange P9 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,P9 specification states 5% total commissions.
Loading_Turn_Time,12,hours,Capesize,EXTERNAL REFERENCE,Baltic Exchange C18 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,Baltic route definition includes 12-hour loading turn time.
Discharge_Turn_Time,24,hours,Capesize,EXTERNAL REFERENCE,Baltic Exchange C18 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,Baltic route definition includes 24-hour discharge turn time.
Loading_Turn_Time,12,hours,Panamax,EXTERNAL REFERENCE,Baltic Exchange P9 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,Baltic route definition includes 12-hour loading turn time.
Discharge_Turn_Time,24,hours,Panamax,EXTERNAL REFERENCE,Baltic Exchange P9 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,Baltic route definition includes 24-hour discharge turn time.
Dhamra_LOA_Limit,300,m,Port,EXTERNAL REFERENCE,Dhamra Port Information,https://www.adaniports.com/-/media/Project/Ports/PortsAndTerminals/Dhamra-Port/Documents/DPCL-Port-Information.pdf,SUPPORTED,Port information states berths can accommodate vessels up to 300 m LOA.
Dhamra_Beam_Limit,50,m,Port,EXTERNAL REFERENCE,Dhamra Port Information,https://www.adaniports.com/-/media/Project/Ports/PortsAndTerminals/Dhamra-Port/Documents/DPCL-Port-Information.pdf,SUPPORTED,Port information states berths can accommodate vessels up to 50 m beam.
Dhamra_Cape_Capability,Yes,boolean,Port,EXTERNAL REFERENCE,Dhamra Port 2026 Berthing Policy,https://www.adaniports.com/-/media/Project/Ports/PortsAndTerminals/Dhamra-Port/Tariff/Dhamra-BPTS_DPC_01-WEF-1-Apr-2026.pdf,SUPPORTED,Dhamra states its mechanized dry bulk berths can handle Cape-size vessels drawing up to 17.50 m draft.
Dhamra_Coal_Discharge_Rate,50000,mt/day,Port,EXTERNAL REFERENCE,Dhamra Port 2026 Berthing Policy,https://www.adaniports.com/-/media/Project/Ports/PortsAndTerminals/Dhamra-Port/Tariff/Dhamra-BPTS_DPC_01-WEF-1-Apr-2026.pdf,SUPPORTED,"Published coal discharge capability is over 50,000 mt/day."
Laden_Distance,,nautical miles,Capesize,UNAVAILABLE,No sufficiently authoritative canonical distance selected,,NOT YET SUPPORTED,A route distance must be sourced separately before voyage economics can be calculated.
Ballast_Distance,,nautical miles,Capesize,UNAVAILABLE,No sufficiently authoritative canonical distance selected,,NOT YET SUPPORTED,A route distance must be sourced separately before voyage economics can be calculated.
Laden_Distance,,nautical miles,Panamax,UNAVAILABLE,No sufficiently authoritative canonical distance selected,,NOT YET SUPPORTED,A route distance must be sourced separately before voyage economics can be calculated.
Ballast_Distance,,nautical miles,Panamax,UNAVAILABLE,No sufficiently authoritative canonical distance selected,,NOT YET SUPPORTED,A route distance must be sourced separately before voyage economics can be calculated.
2025-10_VLSFO,,USD/mt,All,UNAVAILABLE,STEP8C project data,,NOT SUPPORTED,The project bunker series has no October 2025 observation. No value is fabricated in Step 8D.
Port_Cost,,USD/voyage,All,UNAVAILABLE,No port-cost scenario selected,,NOT YET SUPPORTED,Tariffs need to be converted to a specific vessel/cargo scenario before being inserted into the economics engine.
Other_Voyage_Cost,,USD/voyage,All,UNAVAILABLE,,,NOT YET SUPPORTED,No defensible project-specific or scenario value selected.
